axis,panel_kind,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,n_axis_with_data,axis_score,permutation_p_raw,permutation_n_exceed,permutation_mean,permutation_sd,permutation_p_bh,sig_05,sig_01
proteotoxic,positive,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,5,1.2548769951458416,0.006799320067993201,67,0.041689718425692024,0.44372255240552205,0.029373062693730623,True,False
proteotoxic,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,28,0.1658322166913719,0.19288071192880712,1928,0.0007796220987422731,0.19343950866414225,0.27774822517748227,False,False
proteotoxic,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,28,0.1685892505650702,0.1750824917508249,1750,-0.0042575151612693875,0.1902007959976214,0.270127272986987,False,False
proteotoxic,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,28,0.1591767206883151,0.20007999200079993,2000,-0.0008284963353083488,0.1915204300169991,0.2806316770920311,False,False
proteotoxic,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,28,0.3553967780212075,0.032096790320967905,320,-0.004300169804645834,0.19139474516103694,0.08454764279669595,False,False
cell_death,positive,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,3,1.510726529070369,0.007099290070992901,70,0.061014797159865415,0.5660263142237981,0.02948935875643205,True,False
n_stress,positive,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,5,1.4536441535285574,0.0016998300169983002,16,0.00281277871803064,0.44879417276750044,0.008741982944562686,True,True
n_stress,cyanorak,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,28,0.7294416630242252,0.00039996000399960006,3,-0.010519877428116506,0.19143944319671027,0.0025409223783504,True,True
oxidative,positive,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,5,0.2820700084809099,0.268973102689731,2689,0.01855040807518666,0.4423445089789579,0.3338976447182868,False,False
oxidative,cyanorak,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,25,-0.1108967961027523,0.28417158284171584,2841,0.0025645850490244467,0.20209676809659294,0.339513301417111,False,False
photo,positive,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,5,0.8635199179276248,0.035096490350964904,350,0.054651722058563994,0.4449909160919996,0.08814932460242347,False,False
photo,cyanorak,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,30,1.1341755920348424,9.999000099990002e-05,0,0.07745425168282329,0.17515186022511575,0.00071992800719928,True,True
proteotoxic,positive,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,5,-0.126517919785578,0.3631636836316368,3631,0.02304307457953746,0.4512809192085662,0.39617856396178563,False,False
proteotoxic,cyanorak,rnaseq_axenic,axenic,RNASEQ,day 14,336.0,nutrient_limited,28,-0.229215189779698,0.11198880111988802,1119,0.0056419441317063545,0.19293342530600288,0.19827525444176894,False,False
